exactModelId,lifecycle,name,baseModelIdRaw,version,supportedGenerationMethods,thinkingRaw,control,defaultValue,levels,budgetRange,zero,minusOne,canDisable,evidence,verifiedAt
"gemini-flash-latest","latest alias; deprecated status not exposed by Models API","models/gemini-flash-latest","missing (own-property=false)","Gemini Flash Latest","generateContent;countTokens;createCachedContent;batchGenerateContent","true (boolean)","unknown","not established by the cited GenerateContent thinking tables","unknown","unknown","unknown","unknown","unknown","Models API raw metadata only; exact GenerateContent thinking control evidence not identified in this audit","2026-07-23T20:33:38.645Z"
"gemini-flash-lite-latest","latest alias; deprecated status not exposed by Models API","models/gemini-flash-lite-latest","missing (own-property=false)","Gemini Flash-Lite Latest","generateContent;countTokens;createCachedContent;batchGenerateContent","true (boolean)","unknown","not established by the cited GenerateContent thinking tables","unknown","unknown","unknown","unknown","unknown","Models API raw metadata only; exact GenerateContent thinking control evidence not identified in this audit","2026-07-23T20:33:38.645Z"
"gemini-omni-flash-preview","preview name; deprecated status not exposed by Models API","models/gemini-omni-flash-preview","missing (own-property=false)","001","generateContent;countTokens","true (boolean)","unknown","not established by the cited GenerateContent thinking tables","unknown","unknown","unknown","unknown","unknown","Models API raw metadata only; exact GenerateContent thinking control evidence not identified in this audit","2026-07-23T20:33:38.645Z"
"gemini-pro-latest","latest alias; deprecated status not exposed by Models API","models/gemini-pro-latest","missing (own-property=false)","Gemini Pro Latest","generateContent;countTokens;createCachedContent;batchGenerateContent","true (boolean)","unknown","not established by the cited GenerateContent thinking tables","unknown","unknown","unknown","unknown","unknown","Models API raw metadata only; exact GenerateContent thinking control evidence not identified in this audit","2026-07-23T20:33:38.645Z"
"gemini-robotics-er-1.5-preview","preview name; deprecated status not exposed by Models API","models/gemini-robotics-er-1.5-preview","missing (own-property=false)","1.5-preview","generateContent;countTokens","true (boolean)","unknown","not established by the cited GenerateContent thinking tables","unknown","unknown","unknown","unknown","unknown","Models API raw metadata only; exact GenerateContent thinking control evidence not identified in this audit","2026-07-23T20:33:38.645Z"
"gemini-robotics-er-1.6-preview","preview name; deprecated status not exposed by Models API","models/gemini-robotics-er-1.6-preview","missing (own-property=false)","1.6-preview","generateContent;countTokens;createCachedContent;batchGenerateContent","true (boolean)","budget","dynamic thinking","not applicable; thinkingLevel unsupported","0..24576","0; disables thinking","-1; dynamic thinking (default)","yes","Gemini GenerateContent Thinking guide, thinking-budget table","2026-07-23T20:33:38.645Z"
"gemma-4-26b-a4b-it","stable name; deprecated status not exposed by Models API","models/gemma-4-26b-a4b-it","missing (own-property=false)","001","generateContent;countTokens","true (boolean)","unknown","not established by the cited GenerateContent thinking tables","unknown","unknown","unknown","unknown","unknown","Models API raw metadata only; exact GenerateContent thinking control evidence not identified in this audit","2026-07-23T20:33:38.645Z"
"gemma-4-31b-it","stable name; deprecated status not exposed by Models API","models/gemma-4-31b-it","missing (own-property=false)","001","generateContent;countTokens","true (boolean)","unknown","not established by the cited GenerateContent thinking tables","unknown","unknown","unknown","unknown","unknown","Models API raw metadata only; exact GenerateContent thinking control evidence not identified in this audit","2026-07-23T20:33:38.645Z"
"lyria-3-clip-preview","preview name; deprecated status not exposed by Models API","models/lyria-3-clip-preview","missing (own-property=false)","lyria-3-clip-preview","generateContent;countTokens","missing (own-property=false)","unknown","not established by the cited GenerateContent thinking tables","unknown","unknown","unknown","unknown","unknown","Models API raw metadata only; exact GenerateContent thinking control evidence not identified in this audit","2026-07-23T20:33:38.645Z"
"lyria-3-pro-preview","preview name; deprecated status not exposed by Models API","models/lyria-3-pro-preview","missing (own-property=false)","lyria-3-pro-preview","generateContent;countTokens","missing (own-property=false)","unknown","not established by the cited GenerateContent thinking tables","unknown","unknown","unknown","unknown","unknown","Models API raw metadata only; exact GenerateContent thinking control evidence not identified in this audit","2026-07-23T20:33:38.645Z"
"nano-banana-pro-preview","preview name; deprecated status not exposed by Models API","models/nano-banana-pro-preview","missing (own-property=false)","3.0","generateContent;countTokens;batchGenerateContent","true (boolean)","unknown","not established by the cited GenerateContent thinking tables","unknown","unknown","unknown","unknown","unknown","Models API raw metadata only; exact GenerateContent thinking control evidence not identified in this audit","2026-07-23T20:33:38.645Z"
